比赛,年,月,组别,城市,主办方,队伍数,冠军,亚军,季军,高水平,备注,Tournment,Year,Month,Division,City,Holder,NTeams,1st,2nd,3rd,High_Level,Note
福建公开赛,2017,12,混合,福州,福州火焰,16,南京小盆友,上海沪蛙,北京大哥,是,亚军原名Puxi Patrol,FJ Open,2017,12,Mixed,FuZhou,福州火焰,16,NJ 小盆友,SH Huwa,BJ Big Brother,Yes,亚军原名Puxi Patrol
常州圣诞赛,2017,12,混合,常州,贝特曼体育,8,,,,,,CZ XMAS,2017,12,Mixed,ChangZhou,贝特曼体育,8,,,,,
同济邀请赛,2017,12,大学 混合,上海,同济飞盘,6,同济大学,复旦大学,,,,Tongji Invite,2017,12,College Mixed,ShangHai,同济飞盘,6,Tongji,Fundan,,,
CUUA华东,2017,11,大学 混合,南京,CUUA,9,宁波诺丁汉大学,同济大学,西交利物浦大学,,,CUUA East,2017,11,College Mixed,NanJing,CUUA,9,Nottingham Ningbo,Tongji,Xi‘an Jiaotong-liverpool,,
CUUA华北,2017,11,大学 混合,北京,CUUA,4,北京体育大学,,,,,CUUA North,2017,11,College Mixed,BeiJing,CUUA,4,Beijing Sport,,,,
CUUA华南,2017,11,大学 混合,珠海,CUUA,12,广东工业大学,广州大学,北京师范大学珠海,,,CUUA South,2017,11,College Mixed,ZhuHai,CUUA,12,Guangdong Technology,Guangzhou,"Beijing Normal, Zhuhai",,
CUUA华中,2017,11,大学 混合,长沙,CUUA,6,湖南大学,中国地质大学,湖北工业大学,,,CUUA Central,2017,11,College Mixed,ChangSha,CUUA,6,Hunan,China Geosciences,Hubei Technology,,
CUUA东北,2017,11,大学 混合,大连,CUUA,,大连理工大学,,,,,CUUA North East,2017,11,College Mixed,DaLian,CUUA,,Dalian Technology,,,,
CUUA华西,2017,11,大学 混合,西安,CUUA,6,成都大学,,,,,CUUA West,2017,11,College Mixed,Xi'An,CUUA,6,Chengdu,,,,
长沙公开赛,2017,10,混合,长沙,长沙飞盘,8,长沙湘北,金砖鸽子,,,,CS Open,2017,10,Mixed,ChangSha,长沙飞盘,8,CS Xiangbei,金砖鸽子,,,
武汉公开赛,2017,10,混合,武汉,地大飞盘,12,Frisbeer,长沙湘北,深圳禅,是,,WH Open,2017,10,Mixed,WuHan,地大飞盘,12,Frisbeer,CS Xiangbei,SZ Zen,Yes,
